date;weekday;category;name;employees;students;type
2019-02-05;Tue;Angebote;Seelachs mit Spinat-Käsefüllung auf Möhrenrisotto mit Kürbiskernen, dazu bunter Maissalat;5,35;3,55;0
2019-02-05;Tue;Angebote;Gyrosbraten vom Schwein auf Paprikakraut, dazu Tsatsiki und Bratkartoffeln;4,79;2,99;0
2019-02-05;Tue;Angebote;Auberginen im Haferflockenmantel mit Tomaten-Orangensoße und Gemüse-Bulgur;4,05;2,25;2
2019-02-05;Tue;Angebote;Burritos gefüllt mit Cheddar und Gouda, dazu fruchtiges Mango-Chutney und Salat;;;1
2019-02-05;Tue;Pasta;Pastasoße mit Putenbruststreifen und Spinat;;;0
2019-02-05;Tue;Pasta;Pastasoße all arrabiata;;;2
2019-02-05;Tue;Pasta;Pasta mit Basilikumpesto;;;2
2019-02-05;Tue;Ofenfrisch;Pizza mit Schinken und Champignons;4,57;2,77;0
2019-02-05;Tue;Ofenfrisch;Pizza Bel Paese mit Tomaten und Hirtenkäse;4,57;2,77;1
2019-02-05;Tue;Tagessuppe;Lauch-Hackfleischsuppe;3,54;1,74;0
2019-02-05;Tue;Tagessuppe;Erbseneintopf mit Schinkenwürfeln;3,54;1,74;0
2019-02-06;Wed;Angebote;Currywurst mit Pommes frites und Krautsalat;4,79;2,99;0
2019-02-06;Wed;Angebote;Szegediner Gulasch mit Semmelknödel oder Bratkartoffeln, dazu Salat;4,31;2,51;0
2019-02-06;Wed;Angebote;Kartoffelcurry mit Basmati Reis und Salat;4,05;2,25;2
2019-02-06;Wed;Angebote;Mac & Cheese mit scharfer Tomatensalsa und Salat;4,79;2,99;1
2019-02-06;Wed;Pasta;Bolognese;;;0
2019-02-06;Wed;Pasta;Gemüsebolognese;;;2
2019-02-06;Wed;Pasta;Pasta mit Basilikumpesto;;;2
2019-02-06;Wed;Ofenfrisch;Pizza mit Schinken und Champignons;4,57;2,77;0
2019-02-06;Wed;Ofenfrisch;Pizza Bel Paese mit Tomaten und Hirtenkäse;4,57;2,77;1
2019-02-06;Wed;Tagessuppe;Paprikacremesuppe;3,54;1,74;1
2019-02-06;Wed;Tagessuppe;Erbseneintopf mit Schinkenwürfeln;3,54;1,74;0
2019-02-07;Thu;Angebote;6-Korn Schweineschnitzel mit Gurken-Apfelquark und Kartoffel-Linsenstampf oder Pommes frites;5,13;3,33;0
2019-02-07;Thu;Angebote;Schweineschnitzel mit Pommes frites und Zitronenecke;;;0
2019-02-07;Thu;Angebote;Paniertes Sojaschnitzel mit Cremechampignons, dazu Pommes frites;;;2
2019-02-07;Thu;Angebote;Gebratene Reis-Käsepattys mit Cremechampignons, dazu Pommes frites;4,27;2,47;1
2019-02-07;Thu;Pasta;Tomatensoße mit Schinken, Salami, Champignons und Paprika;;;0
2019-02-07;Thu;Pasta;Rahmsoße mit gegrillten Zucchini, gemischten Pilzen und italienischen Hartkäse;;;1
2019-02-07;Thu;Pasta;Pasta mit Basilikumpesto;;;2
2019-02-07;Thu;Ofenfrisch;Pizza mit Schinken und Champignons;4,57;2,77;0
2019-02-07;Thu;Ofenfrisch;Pizza Bel Paese mit Tomaten und Hirtenkäse;4,57;2,77;1
2019-02-07;Thu;Tagessuppe;Paprikacremesuppe;3,54;1,74;1
2019-02-07;Thu;Tagessuppe;Curry-Kartoffelsuppe;3,54;1,74;1
2019-02-08;Fri;Angebote;Chicken Burger mit Tomate, Mozzarella, Rucola und Basilikummayonaise, dazu Pommes frites;5,79;3,99;0
2019-02-08;Fri;Angebote;Zwei Heringsfilets nach Hausfrauen Art mit Bratkartoffeln und Salat;;;0
2019-02-08;Fri;Angebote;Ofenkartoffel mit Radieschen-Kresse-Dip und Tomatensalat;4,61;2,81;2
2019-02-08;Fri;Angebote;Buttermilchplinsen mit Apfelmus;4,05;2,25;1
2019-02-08;Fri;Pasta;Rindergeschnetzeltes mit Gorgonzola und grünem Pfeffer;;;0
2019-02-08;Fri;Pasta;Pastasoße alla sicilliana;;;1
2019-02-08;Fri;Pasta;Pasta mit Basilikumpesto;;;2
2019-02-08;Fri;Pasta;Gemüsebolognese;;;2
