date;weekday;category;name;employees;students;type
2019-02-05;Tue;Angebote;Hähnchenschnitzel Cordon bleu mit Geflügelsoße, buntem Gemüse und Petersilienkartoffeln;4,6;2,8;0
2019-02-05;Tue;Angebote;Ofengemüse mit Zitronen-Kräutercreme und Rosmarinkartoffeln;4,6;2,8;2
2019-02-05;Tue;Angebote;Pizza mit Peperonisalami und Paprika;;;0
2019-02-05;Tue;Angebote;Pizza Bel Paese mit Tomaten und Hirtenkäse;;;1
2019-02-05;Tue;Wok & Grill;Rindfleisch mit Erdnussbutter, rotem Paprika und Bohnen, dazu Mie Nudeln;4,65;2,85;0
2019-02-05;Tue;Hausgemachte Pasta, heute;Trecce alla greco mit Schafskäse;4,1;2,3;1
2019-02-05;Tue;Pasta;Ungarisches Putengeschnetzeltes;;;0
2019-02-05;Tue;Pasta;Rahmsoße mit Kürbis;;;1
2019-02-05;Tue;Auflauf;Schinkennudeln mit Käsesoße gratiniert;3,85;2,05;0
2019-02-05;Tue;Auflauf;Kartoffel-Bohnenauflauf;3,85;2,05;1
2019-02-05;Tue;Terrine;Winter-Minestrone mit Grünkohl, Kürbis und Kichererbsen;3,54;1,74;2
2019-02-05;Tue;Terrine;Mexikanischer Chili-Käse-Maiseintopf mit Rindfleisch;3,54;1,74;0
2019-02-06;Wed;Angebote;Paniertes Kabeljaufilet mit Möhrengemüse und Kartoffelpüree;4,7;2,9;0
2019-02-06;Wed;Angebote;Gemüsebällchen mit Sauerrahm-Dip und Bulgursalat;4,55;2,75;1
2019-02-06;Wed;Angebote;Pizza Chili con carne;;;0
2019-02-06;Wed;Angebote;Pizza mit Artischockenherzen und Oregano;;;1
2019-02-06;Wed;Wok & Grill;Hacksteak aus Rind und Lamm mit Hirtenkäse-Raukecreme und Reis, nach türkischer Art;4,8;3,0;0
2019-02-06;Wed;Hausgemachte Pasta, heute;Linguine mit Carbonara, dazu italienischer Hartkäse Grana Padano;4,1;2,3;0
2019-02-06;Wed;Pasta;Tomatensoße Bolognese;;;0
2019-02-06;Wed;Pasta;Rahmsoße mit Tomaten und Zucchini;;;1
2019-02-06;Wed;Auflauf;Gratinierte Pasta mit Pute ungarisch;3,85;2,05;0
2019-02-06;Wed;Auflauf;Kartoffel-Bohnenauflauf;3,85;2,05;1
2019-02-06;Wed;Terrine;Winter-Minestrone mit Grünkohl, Kürbis und Kichererbsen;3,54;1,74;2
2019-02-06;Wed;Terrine;Mexikanischer Chili-Käse-Maiseintopf mit Rindfleisch;3,54;1,74;0
2019-02-07;Thu;Angebote;Burger mit gebackenem Hirtenkäse, dazu Wedges und Salat;5,3;3,5;1
2019-02-07;Thu;Angebote;Burger mit Rindfleisch, dazu Wedges und Salat;5,3;3,5;0
2019-02-07;Thu;Angebote;Schupfnudelpfanne mit Wirsing, Tomate, Mais und Sonnenblumenkernen;4,2;2,4;1
2019-02-07;Thu;Angebote;Pizza mit Artischockenherzen und Oregano;;;1
2019-02-07;Thu;Wok & Grill;Rückensteak mit Chili-Früchten oder Champignons, Kartoffelbällchen und Salat;4,7;2,9;0
