date;weekday;category;name;employees;students;type
2018-01-02;Tue;Angebote;Putenschnitzel Cordon bleu mit Möhrengemüse und Schwenkkartoffeln;;;0
2018-01-02;Tue;Angebote;Rindergeschnetzeltes mit Rote Bete, Gewürzgurken und Rotwein, dazu Erbsen und Kartoffelkroketten;4,39;2,64;0
2018-01-02;Tue;Angebote;Tagliatelle mit Gemüsestreifen und Avocado-Kokos-Limettensoße, dazu geröstete Cashewkerne;3,85;2,1;2
2018-01-02;Tue;Pasta;Fruchtige Tomatensoße mit Mozzarella;;;1
2018-01-02;Tue;Pasta;Pastasoße all'amatriciana mit Tomaten und Bauchspeck;;;0
2018-01-02;Tue;Pasta;Hausgemachte Pasta mit Rucolapesto;;;2
2018-01-02;Tue;Ofenfrisch;Pizza mit Hähnchenfleisch, Blattspinat und Creme fraiche;3,76;2,66;0
2018-01-02;Tue;Ofenfrisch;Pizza Hellas mit Tomaten, Oliven, roten Zwiebeln und Hirtenkäse;3,76;2,66;1
2018-01-02;Tue;Tagessuppe;Tomatensuppe;;;2
2018-01-03;Wed;Gebratene Schweinemedaillons auf buntem Wokgemüse, dazu Kokosreis (Auch fleischlos möglich;2,39 €/ 4,14 €);4,74;2,99;0
2018-01-03;Wed;Angebote;Seelachsfilet mit Sesampanade, dazu Kartoffel-Linsenstampf und Salat;4,54;2,79;0
2018-01-03;Wed;Angebote;Folienkartoffel mit Radieschen-Kressequark und Salat;3,94;2,19;1
2018-01-03;Wed;Angebote;Mediterrane Tofu-Gemüsepfanne mit Couscous und Salat;4,26;2,51;2
2018-01-03;Wed;Pasta;Tomatensoße Bolognese;;;0
2018-01-03;Wed;Pasta;Tomatenratatouille;;;2
2018-01-03;Wed;Pasta;Hausgemachte Pasta mit Rucolapesto;;;2
2018-01-03;Wed;Ofenfrisch;Pizza mit Hähnchenfleisch, Blattspinat und Creme fraiche;3,76;2,66;0
2018-01-03;Wed;Ofenfrisch;Pizza Hellas mit Tomaten, Oliven, roten Zwiebeln und Hirtenkäse;3,76;2,66;1
2018-01-03;Wed;Tagessuppe;Erbsensuppe;;;2
2018-01-03;Wed;Tagessuppe;Tomatensuppe mit Bauchspeck;;;0
2018-01-04;Thu;Angebote;Schnitzel XXL in Cornflakespanade mit Zitronenecke und Pommes frites, dazu Salat;5,08;3,33;0
2018-01-04;Thu;Angebote;Sojagyros, dazu Tomaten-Pastasotto und Salat;4,32;2,57;2
2018-01-04;Thu;Pasta;Käsesoße Quattro formaggi;;;0
2018-01-04;Thu;Pasta;Mailänder Nudelsoße;;;0
2018-01-04;Thu;Pasta;Hausgemachte Pasta mit Rucolapesto;;;2
2018-01-04;Thu;Tagessuppe;Linsen-Kokossuppe;;;1
2018-01-04;Thu;Tagessuppe;Gulaschsuppe mit Roter Bete und Gewürzgurke;;;0
2018-01-05;Fri;Angebote;Pulled Turkey Burger mit Guacamole, Mango-Kürbischutney und Pommes frites;5,08;3,33;0
2018-01-05;Fri;Angebote;Lasagne Bolognese mit Salat;;;0
2018-01-05;Fri;Angebote;Gebackene Briespitze mit Preiselbeer-Dip und Salat;;;1
2018-01-05;Fri;Angebote;Langos mit Aioli und Antipasti;4,0;2,25;2
2018-01-05;Fri;Pasta;Hausgemachte Pasta mit Rucolapesto;;;2
2018-01-05;Fri;Pasta;Pastasoße mit Champignons und getrockneten Tomaten;;;1
2018-01-05;Fri;Pasta;Ragù napoletano;;;0
2018-01-05;Fri;Tagessuppe;Kartoffelsuppe mit Wiener;;;0
2018-01-05;Fri;Tagessuppe;Mediterrane Tomatensuppe;;;2
2018-01-08;Mon;Angebote;Schweineschnitzel mit Pommes frites;4,0;2,25;0
2018-01-08;Mon;Angebote;Hackbraten mit Hirtenkäse, getrockneten Tomaten und Oliven an fruchtiger Tomatensoße, dazu Pastasotto und Salat;4,24;2,49;0
2018-01-08;Mon;Angebote;Schwenkkartoffeln mit grüner Soße, dazu Rote-Bete-Birnensalat mit gerösteten Kürbiskernen;4,0;2,25;1
2018-01-08;Mon;Pasta;Frischkäse-Weißweinsoße mit gebratenem Tofu;;;1
2018-01-08;Mon;Pasta;Pastasoße mit Champignons und getrockneten Tomaten;;;1
2018-01-08;Mon;Pasta;Hausgemachte Pasta mit Thaipesto;;;2
2018-01-08;Mon;Tagessuppe;Fruchtige Möhrensuppe;;;2
2018-01-08;Mon;Tagessuppe;Tomatensuppe mit Schinken und Champignons;;;0
2018-01-09;Tue;Angebote;Schweinekrustenbraten mit Apfelrotkohl und Kartoffelklößen oder Schwenkkartoffeln;4,54;2,79;0
2018-01-09;Tue;Angebote;Seitan Ragout fin mit veganer Hollandaise gratiniert, dazu Salat;3,9;2,15;2
2018-01-09;Tue;Angebote;Hausgemachte Tofufrikadelle mit Zwiebel und Paprika an scharfer Letschosoße, dazu Stampfkartoffeln und Salat;4,54;2,79;2
2018-01-09;Tue;Pasta;Carbonara;;;0
2018-01-09;Tue;Pasta;Tomatensoße mit Antipasti;;;2
2018-01-09;Tue;Pasta;Hausgemachte Pasta mit Thaipesto;;;2
