date;weekday;category;name;employees;students;type
2018-01-04;Thu;Angebote;Hühnerfrikasee mit Möhren und Reis;5,8;4,05;0
2018-01-05;Fri;Angebote;Currybockwurst mit Pommes frites und Currysoße;5,8;4,05;0
2018-01-05;Fri;Angebote;Mediterrane Spätzlepfanne mit Spinat, Cocktailtomaten und Röstzwiebeln;5,8;4,05;2
2018-01-05;Fri;Angebote;Reisauflauf mit Hühnchen, Karotten und Gouda gratiniert;3,0;3,0;0
2018-01-08;Mon;Angebote;Fleischkäseschmarrn mit Champignons, Karotten und Porree, dazu Kräuterquark;6,25;4,5;0
2018-01-08;Mon;Angebote;Gemüseschmarrn mit Möhre, Porree und Champignons, dazu Kräuterquark;5,45;3,7;1
2018-01-09;Tue;Angebote;Griechische Reispfanne mit Schweinefleischgyros und Fetakäse mit Joghurt-Quarkcreme;5,9;4,15;0
2018-01-09;Tue;Angebote;Griechische Reispfanne mit Pakoras von Zucchini und Karotte, dazu veganes Aioli;5,25;3,5;2
2018-01-09;Tue;Angebote;Warme Topfentasche mit Vanillepudding;2,9;2,9;1
2018-01-10;Wed;Angebote;180g Rindfleisch Cheeseburger;6,5;4,75;0
2018-01-10;Wed;Angebote;Veganer Burger mit Süßkartoffelpatty und Rote-Betemayonnaise;5,65;3,9;2
2018-01-10;Wed;Angebote;Pommes frites mit Ketschup und Mayonnaise;2,18;1,98;1
2018-01-10;Wed;Angebote;Frittatenauflauf mit Fleischkäse, Gemüse und Gouda gratiniert;2,95;2,95;0
2018-01-11;Thu;Angebote;Podemuser Rinderbraten mit Apfelrotkohl und Hefeknödel;6,2;4,45;0
2018-01-11;Thu;Angebote;Indisches Hülsenfrüchtedal mit geschwenkten Currykartoffeln und Tomatensalat;5,5;3,75;2
2018-01-12;Fri;Angebote;Lasagne Bologneser Art mit fruchtigem Eisberg-Bohnensalat;6,25;4,5;0
2018-01-12;Fri;Angebote;Chili sin carne mit Bohnensalat und Bulgur;5,15;3,4;2
2018-01-12;Fri;Angebote;Dinkel-Kaiserschmarrn mit Puderzucker und Apfelkompott;5,45;3,7;1
2018-01-15;Mon;Angebote;Bratwurstgyros mit Tomatenreis und Rotkohlsalat;5,7;3,95;0
2018-01-15;Mon;Angebote;Tomatenreis - Gemüsepfanne mit Karotte, Brokkoli und Wirsing, dazu Ajvar-Dip;5,35;3,6;2
2018-01-16;Tue;Angebote;Putengeschnetzeltes mit Champignons, Möhrengemüse und Spätzle;6,3;4,55;0
2018-01-16;Tue;Angebote;Kürbissteak mit Sauerkraut, geschwenkten Kartoffeln und veganer Aioli;5,6;3,85;2
2018-01-16;Tue;Angebote;Blätterteigtasche mit Spinat und Fetakäse gefüllt;2,3;2,3;1
2018-01-17;Wed;Angebote;Rindfleisch in knackigem Wokgemüse und Erdnusssoße, dazu geschwenkte Curry-Kartoffelwürfel und Sprossen;6,75;5,0;0
2018-01-17;Wed;Angebote;Falafel auf knackigem Wokgemüse und Erdnusssoße mit Reis und Sprossen;5,45;3,7;2
2018-01-17;Wed;Angebote;Dinkelkaiserschmarrn mit Nüssen und Vanillesoße;2,9;2,9;1
2018-01-18;Thu;Angebote;Schweineschnitzel vom Kamm mit Spiegelei und Bratkartoffeln;6,25;4,5;0
2018-01-18;Thu;Angebote;Lasagne mit Süßkartoffeln und Lauch, dazu fruchtiger Spinat-Maissalat;5,7;3,95;1
2018-01-18;Thu;Angebote;Dinkelpizza mit Champignons, Kichererbsen und Rucola;5,8;4,05;2
2018-01-19;Fri;Angebote;Krautnudeln mit Salami;5,75;4,0;0
2018-01-19;Fri;Angebote;Vegane Vollkorn-Krautnudel mit Räuchertofu und Cocktailtomaten;5,4;3,65;2
2018-01-19;Fri;Angebote;Milchreis mit Sauerkirschen und Zimtzucker;4,7;2,95;1
2018-01-22;Mon;Angebote;Rinderhack in Gorgonzolasoße mit frischem Blattspinat und Tagliatelle;6,1;4,35;0
2018-01-22;Mon;Angebote;Risotto mit Champignons und Mangold, dazu Zucchini mit Sonnenblumenkernen, Walnusskruste;5,9;4,15;2
2018-01-22;Mon;Angebote;Risotto mit Mangold und Champignons;5,35;3,65;2
