date;weekday;category;name;employees;students;type
2019-02-05;Tue;Angebote;Currywurst mit pikanter Soße an Pommes frites und gemischtem Salat;6,15;4,35;0
2019-02-05;Tue;Angebote;Kichererbsenbratling mit pikanter Soße an Pommes frites und gemischtem Salat;5,5;3,7;2
2019-02-06;Wed;Angebote;Reispfanne mit Gemüse und Schweinefleisch, dazu eine herzhafte Joghurt-Quarkcreme;5,6;3,8;0
2019-02-06;Wed;Angebote;Reispfanne mit Gemüse und Fetakäse, dazu herzhafte Joghurt-Quarkcreme;5,0;3,2;1
2019-02-07;Thu;Angebote;Gebratener Fleischkäse an Bratkartoffeln und Weißkraut-Paprikasalat;5,2;3,4;0
2019-02-07;Thu;Angebote;Gebackene Älpler Makkaroni an Eichblatt-Rucolasalat;5,0;3,2;1
2019-02-08;Fri;Angebote;Krautnudeln mit Salami und Kräuter-Dip;5,3;3,5;0
2019-02-08;Fri;Angebote;Vegane Krautnudeln mit Kräuter-Dip;3,7;1,9;2
2019-02-11;Mon;Angebote;Kichererbsencurry mit frischen Gemüsen und Kräuterreis;4,7;2,9;2
2019-02-12;Tue;Angebote;Buntes Wokgemüse mit Rindfleisch an Couscous;5,4;3,6;0
2019-02-12;Tue;Angebote;Apfel-Linsenragout mit Couscous;4,6;2,8;2
2019-02-13;Wed;Angebote;Hamburger mit 160g Rindfleisch und Tomate;5,7;3,9;0
2019-02-13;Wed;Angebote;Veganer Hamburger mit Polentasteak und Tomate;4,6;2,8;2
2019-02-13;Wed;Angebote;Pommes frites mit Portion Ketchup/Mayo;2,6;2,2;1
2019-02-14;Thu;Angebote;Kräuterhacksteak mit Sahnegurken und Stampfkartoffeln;6,8;5,0;0
2019-02-14;Thu;Angebote;Spitzkohl-Champignonragout mit Stampfkartoffeln;5,45;3,65;2
2019-02-15;Fri;Angebote;Puten-Champignonragout  an Mini-Kartoffelklößen und Eichblatt-Rucolasalat;7,7;5,9;0
2019-02-15;Fri;Angebote;Mediterranes Tomatenratatouille an Mini-Kartoffelklößen und Eichblatt-Rucolasalat;6,25;4,45;2
2019-02-18;Mon;Angebote;Geflügelragout mit Gemüsen an Couscous mit Kräutern;5,1;3,3;0
2019-02-18;Mon;Angebote;Bohnenragout mit Paprika und Aubergine an Couscous mit Kräutern;4,5;2,7;2
2019-02-19;Tue;Angebote;Lasagne Bologneser Art an Eichblatt-Rucolasalat;5,85;4,05;0
2019-02-19;Tue;Angebote;Indisches Hülsenfrüchtedal mit hausgebackenem Naan-Brot;4,3;2,5;1
2019-02-20;Wed;Angebote;Tiegelwurst mit Sauerkraut und Stampfkartoffeln;5,4;3,6;0
2019-02-20;Wed;Angebote;Spinatfrittata mit Joghurt-Dip an Salat mit Möhrenstreifen;4,9;3,1;1
2019-02-21;Thu;Angebote;Curry mit Schweinefleisch und knackigen Gemüsen an Reis mit Porree;6,5;4,7;0
2019-02-21;Thu;Angebote;Süßkartoffelcurry an Reis mit Porree;4,75;2,95;2
2019-02-22;Fri;Angebote;Rindergulasch mit Pilzen auf Spätzle;6,3;4,5;0
2019-02-22;Fri;Angebote;Mediterranes Gemüseragout auf Spätzle;4,75;2,95;2
2019-02-25;Mon;Angebote;Fussilli mit feinem Wurstgulasch und Gouda;5,7;3,9;0
