date;weekday;category;name;employees;students;type
2019-02-05;Tue;Angebote;Gebackenes Schollenfilet mit mediterranem Nudelsalat;4,85;3,05;0
2019-02-05;Tue;Angebote;Rucola-Süßkartoffelschnitte auf Tomaten-Paprikaragout, dazu Gemüseebly;4,5;2,7;2
2019-02-05;Tue;Angebote;Bohneneintopf mit Rindfleisch, dazu ein Brötchen oder eine Scheibe Brot;3,85;2,05;0
2019-02-06;Wed;Angebote;Lammbraten mit Prinzessbohnen und Kartoffeln;5,35;3,55;0
2019-02-06;Wed;Angebote;Omelette mit Champignons gefüllt, dazu Kräuterquark-Dip und Salat;4,45;2,65;1
2019-02-06;Wed;Angebote;Hähnchengratin mit Curry, Erdnüssen und Reis;3,95;2,15;0
2019-02-07;Thu;Angebote;Hähnchenbrust Forstmeister Art, dazu buntes Gemüse und Kartoffelbällchen;4,45;2,65;0
2019-02-07;Thu;Angebote;Hausgemachte Pasta mit mediterranem Pfannengemüse und fruchtiger Tomatensoße, dazu gehobelter italienischer Hartkäse Grana Padano;4,95;3,15;1
2019-02-07;Thu;Angebote;Vier Hefeklöße an Heidelbeerensoße;3,85;2,05;1
2019-02-08;Fri;Angebote;Schweinegeschnetzeltes Gyros Art, dazu Tsatsiki, Erbsengemüse und Pommes frites;4,5;2,7;0
2019-02-08;Fri;Angebote;Gemüsebällchen mit Chili-Lauchsoße, dazu Karottengemüse und Ebly;4,1;2,3;1
2019-02-08;Fri;Angebote;Mediterrane Grillkartoffeln, dazu Radieschen-Kresse-Dip und Salat;3,9;2,1;1
2019-02-09;Sat;Angebote;Rucola-Süßkartoffel-Schnitte mit Kräuterquark, dazu Bratkartoffeln und Salat;4,25;2,45;1
2019-02-09;Sat;Angebote;Hackfleischbällchen mit feuriger Tomatensoße, dazu Gemüsereis;3,9;2,1;0
2019-02-10;Sun;Angebote;Hähnchen Piccata mit Rahmgemüse und Schwenkkartoffeln;;;0
2019-02-10;Sun;Angebote;Kohlrabi-Kräutermedaillons mit buntem Gemüse und Schwenkkartoffeln;4,2;2,4;1
2019-02-11;Mon;Angebote;Hähnchenbrust Picata, dazu buntes Gemüse und Pommes Twister;5,2;3,4;0
2019-02-11;Mon;Angebote;Röstoppers mit Philadelphia, dazu mediterranes Pfannengemüse und Blattsalat mit Himbeerdressing;5,35;3,55;1
2019-02-11;Mon;Angebote;Penne Rigate mit Chili con carne oder Rahmsoße mit Tomaten und Auberginen, dazu geriebenen Käse;4,05;2,25;0
2019-02-12;Tue;Angebote;Backfischstücke mit Remoulade, dazu Pommes frites und Salat;5,3;3,5;0
2019-02-12;Tue;Angebote;Champignon-Lauchpfanne an Rösti-Ecke und Rotkohlsalat;4,55;2,75;2
2019-02-13;Wed;Angebote;Spanferkelrollbraten mit Bayrischkraut und Kartoffelklößen;5,3;3,5;0
2019-02-13;Wed;Angebote;Gebackene Broccoli-Nussecke, dazu Schwarzwurzelgemüse, Frischkäse-Basilikumsoße und Zitronen-Linsen-Couscous;4,6;2,8;1
2019-02-13;Wed;Angebote;Makkaroni-Auflauf mit Hackfleisch;3,95;2,15;0
2019-02-14;Thu;Angebote;Hirschgulasch mit Kirschrotkohl, dazu Kräuterspätzle oder Hefeknödel;4,75;2,95;0
2019-02-14;Thu;Angebote;Pasta mit Spinatpesto, dazu gehobelter italienischer Hartkäse Grana Padano;4,0;2,2;1
2019-02-14;Thu;Angebote;Buttermilchplinsen mit Beerengrütze;3,9;2,1;1
2019-02-15;Fri;Angebote;Schweinesteak Strindberg, dazu Erbsengemüse und Pommes frites;4,6;2,8;0
2019-02-15;Fri;Angebote;Valess-Nuggets an Ratatouillegemüse, dazu Gemüseebly;5,35;3,55;1
2019-02-15;Fri;Angebote;Chili con Kürbis mit Basmati Reis;3,85;2,05;2
2019-02-16;Sat;Angebote;Kohlroulade in deftiger Schmorkrautsoße, dazu Petersilienkartoffeln;4,7;2,9;0
2019-02-16;Sat;Angebote;Gebackene Polenta-Käseschnitte, dazu Tomatensalsa, buntes Gemüse und fruchtiger Eisbergsalat;5,3;3,5;1
