date;weekday;category;name;employees;students;type
2020-01-06;Mon;Angebote;Gebackene Hähnchen-Crossies mit Mango-Chili-Dip, dazu Steak frites und Salat;5,98;3,14;0
2020-01-06;Mon;Angebote;Kohlroulade in deftiger Bratensoße mit Möhrengemüse und Petersilienkartoffeln;4,27;2,35;0
2020-01-06;Mon;Angebote;Gebratene Kartoffelgnocchi mit Tomatenragout und Rucola;4,89;2,69;2
2020-01-06;Mon;Angebote;Drei Kartoffeltaschen mit Frischkäsefüllung auf Gemüse in Kräuterrahm;5,09;2,8;1
2020-01-06;Mon;Pasta;Rucolapesto;;;2
2020-01-06;Mon;Pasta;Tomatensoße mit Hackfleisch und Schinken;;;0
2020-01-06;Mon;Pasta;Pastasoße mit Champignons und getrockneten Tomaten;;;1
2020-01-06;Mon;Ofenfrisch;Handbrot mit Salami, roten Zwiebeln und Käse gefüllt, dazu Paprika-Dip;;;0
2020-01-06;Mon;Ofenfrisch;Handbrot mit Blattspinat, getrockneten Tomaten, Ricotta und Gouda gefüllt, dazu Paprika-Dip;;;1
2020-01-06;Mon;Tagessuppe;Tomaten-Kokossuppe;;;2
2020-01-07;Tue;Angebote;Currywurst mit Pommes frites und Weißkrautsalat;5,18;2,85;0
2020-01-07;Tue;Angebote;Seelachsfilet in Kartoffelpanade mit Remouladensoße, dazu Bratkartoffeln und Salat;;;0
2020-01-07;Tue;Angebote;Gebackene Champignonköpfe auf Süßkartoffelpüree, dazu bunter Eisbergsalat;4,98;2,74;2
2020-01-07;Tue;Angebote;Langos mit Sauerrahm-Dip, Tomaten und Mozzarella;4,27;2,2;1
2020-01-07;Tue;Pasta;Rucolapesto;4,69;2,58;2
2020-01-07;Tue;Pasta;all'amatriciana mit Tomaten und Bauchspeck;4,69;2,58;0
2020-01-07;Tue;Pasta;fruchtige Tomatensoße mit Mozzarella;4,69;2,58;1
2020-01-07;Tue;Ofenfrisch;Handbrot mit Salami, roten Zwiebeln und Käse gefüllt, dazu Paprika-Dip;;;0
2020-01-07;Tue;Ofenfrisch;Handbrot mit Blattspinat, getrockneten Tomaten, Ricotta und Gouda gefüllt, dazu Paprika-Dip;;;1
2020-01-07;Tue;Tagessuppe;Gemüserahmsuppe;3,59;1,97;0
2020-01-07;Tue;Tagessuppe;Pilzcremesuppe mit getrockneten Tomaten;;;1
2020-01-08;Wed;Angebote;Lasagne Bolognese mit Salat;5,44;2,99;0
2020-01-08;Wed;Angebote;Feuerfleisch vom Rind, dazu Erbsengemüse und Kartoffelkroketten;5,07;2,64;0
2020-01-08;Wed;Angebote;Asiatisches Gemüse und gebratenen Mie Nudeln;5,44;2,99;2
2020-01-08;Wed;Angebote;Mac & Cheese, dazu scharfe Tomatensalsa und Salat;4,27;2,35;1
2020-01-08;Wed;Pasta;Rucolapesto;4,69;2,58;2
2020-01-08;Wed;Pasta;Bolognese;4,69;2,58;0
2020-01-08;Wed;Pasta;Ratatouille;4,69;2,58;2
2020-01-08;Wed;Ofenfrisch;Pizzabrot Kapstadt mit Wiener, Gewürzgurke und Röstzwiebeln mit Curry- Dip;;;0
2020-01-08;Wed;Ofenfrisch;Pizzabrot Caprese mit Tomaten, Paprika, Lauchzwiebeln, Basilikum und Mozzarella dazu Curry- Dip;;;1
2020-01-08;Wed;Ofenfrisch;Langos mit Sauerrahm-Dip, Tomaten und Mozzarella;;;1
2020-01-08;Wed;Tagessuppe;Chili con carne;3,59;1,97;0
2020-01-08;Wed;Tagessuppe;Blumenkohlsuppe;3,59;1,97;2
2020-01-09;Thu;Angebote;XXL Schweineschnitzel mit Pommes frites und Zitronenecke;;;0
2020-01-09;Thu;Angebote;Schweineschnitzel mit Zitronenecke und Pommes frites;4,27;2,2;0
