date;weekday;category;name;employees;students;type
2020-01-06;Mon;Angebote;Putenschnitzel mit Geflügelsoße, dazu buntes Gemüse und Petersilienkartoffeln *;5,09;2,65;0
2020-01-06;Mon;Angebote;Falafelbällchen in Tomatensoße, dazu Bohnen-Maisgemüse und Couscous;4,18;2,3;2
2020-01-06;Mon;Angebote;Hausgemachte Pasta, heute:Amori Aglio e Olio mit Schafskäse;4,18;2,3;1
2020-01-06;Mon;GRILL;Rinderhacksteak Texas mit BBQ-Dip, Speckbohnen und gebackenen Kartoffelecken;5,09;2,8;0
2020-01-06;Mon;Pasta;Tomatensoße mit Salami;4,69;2,58;0
2020-01-06;Mon;Pasta;Pastasoße Funghi;4,69;2,58;1
2020-01-06;Mon;Auflauf;Gratinierte Gemüse-Gnocchi;3,9;2,15;1
2020-01-06;Mon;Terrine;Pikanter Pilzeintopf mit Kartoffeln und Gewürzgurke;3,59;1,97;2
2020-01-07;Tue;Angebote;Paniertes Kabeljaufilet mit Kohlrabi-Möhrengemüse und Kartoffel-Senfpüree;5,0;2,75;0
2020-01-07;Tue;Angebote;Möhrenpfannkuchen mit Hirtenkäse-Raukecreme und Salat;;;1
2020-01-07;Tue;WOK;Frühlingsrollen mit asiatischem Gemüse aus dem Wok und Basmati Reis;5,09;2,65;2
2020-01-07;Tue;GRILL;Rückensteak vom Schwein mit Kräuterbutter, Erbsen und Pommes frites;5,5;3,03;0
2020-01-07;Tue;Pasta;Tomatensoße mit Austernpilzen;4,69;2,58;1
2020-01-07;Tue;Pasta;Pute orientalisch;4,69;2,58;0
2020-01-07;Tue;Auflauf;Gratinierte Gemüse-Gnocchi;3,9;2,15;1
2020-01-07;Tue;Terrine;Pikanter Pilzeintopf mit Kartoffeln und Gewürzgurke;3,59;1,97;2
2020-01-08;Wed;Angebote;Rindergulasch mit Rosenkohl, dazu Spätzle oder Petersilienkartoffeln;4,69;2,58;0
2020-01-08;Wed;Angebote;Broccoli-Nussecke mit Paprikacreme auf Pastasotto;3,8;2,09;2
2020-01-08;Wed;GRILL;Grillkäse aus Mozzarella, Emmentaler und Frischkäse mit Mangochutney, Ingwer-Chili und Bulgursalat;;;1
2020-01-08;Wed;Hausgemachte Pasta, heute;Trecce mit Ragù napoletano und geriebenem Gouda;4,27;2,35;0
2020-01-08;Wed;Pasta;Tomatensoße Bolognese;;;0
2020-01-08;Wed;Pasta;Rahmsoße mit Tomaten und Kräutern;;;1
2020-01-08;Wed;Auflauf;Gratinierte Gemüse-Gnocchi;3,9;2,15;1
2020-01-08;Wed;Terrine;Blumenkohlsuppe;3,59;1,97;2
2020-01-09;Thu;Angebote;Hähnchenbrustfilet mit Paprikasoße, Kurkumareis und Rotkohl-Apfelsalat;4,75;2,61;0
2020-01-09;Thu;Angebote;Blumenkohl und Wurzelgemüse in Kräuterrahm mit Schwenkkartoffeln;4,1;2,26;1
2020-01-09;Thu;Angebote;Pizza Kreta mit Lauch und Hirtenkäse;5,04;2,77;1
2020-01-09;Thu;Angebote;Pizza Texas mit Schweinefleisch, Bauchspeck, Ei und BBQ-Dip;5,04;2,77;0
2020-01-09;Thu;WOK;Kürbis-Apfel-Curry auf Basmati Reis;;;2
2020-01-09;Thu;GRILL;Gebratenes Seelachsfilet mit Dillsoße auf hausgemachter Pasta;5,2;2,71;0
2020-01-09;Thu;Pasta;Käsesoße Quattro formaggi;4,69;2,58;1
2020-01-09;Thu;Pasta;Wurstgulasch;4,69;2,58;0
2020-01-09;Thu;Auflauf;Gratinierte Gemüse-Gnocchi;3,9;2,15;1
2020-01-09;Thu;Auflauf;Auflauf von Vollkornnudeln mit Tomaten und Kräutern in Rahm;3,9;2,15;1
2020-01-09;Thu;Terrine;Blumenkohlsuppe;3,59;1,97;2
2020-01-10;Fri;Angebote;Schweinebraten mit Bayrischkraut und Kartoffelklößen;5,0;2,6;0
2020-01-10;Fri;Angebote;Veg.Maultaschen mit Tomatenconcassee auf Rahmchampignons;4,0;2,2;1
2020-01-10;Fri;Angebote;Burrito mit Soja, Peperoni, Kidneybohnen und Paprika;5,04;2,77;1
2020-01-10;Fri;Angebote;Burrito mit Hackfleisch, Peperoni, Kidneybohnen und Paprika;5,04;2,77;0
