date;weekday;category;name;employees;students;type
2018-01-02;Tue;Angebote;Gebackenes Schweinerückenschnitzel, dazu buntes Gemüse und Pommes frites;4,4;2,65;0
2018-01-02;Tue;Angebote;Penne Rigate, dazu Pastasoße mit Cremechampignons und getrockneten Tomaten, dazu geriebenen Käse;3,7;1,95;1
2018-01-02;Tue;Angebote;Löffelerbseneintopf mit Knackwurstscheiben, dazu eine Scheibe Brot oder ein Brötchen;3,85;2,1;0
2018-01-03;Wed;Angebote;Seelachsfilet in der Sesampanade, dazu Bratkartoffeln und bunter Bohnensalat;4,5;2,75;0
2018-01-03;Wed;Angebote;Hausgemachte Linsenlaibchen mit veganem Tsatsiki, dazu Gemüse und bunter Eisbergsalat;4,1;2,35;2
2018-01-03;Wed;Angebote;Griechischer Nudelauflauf mit Schweinefleisch und Hirtenkäse;3,17;2,07;0
2018-01-04;Thu;Angebote;Hirschgulasch mit Rosenkohl und Mandelkroketten;4,7;2,95;0
2018-01-04;Thu;Angebote;Gebratene Auberginen im Haferflockenmantel, dazu Tomaten-Olivenragout und Limetten-Couscous;4,05;2,3;2
2018-01-04;Thu;Angebote;Germknödel mit Heidelbeerfüllung, dazu Vanillesoße;;;1
2018-01-05;Fri;Angebote;Champignonpfanne mit roten Zwiebeln und Creme fraiche, dazu Herzoginkartoffeln und Rotkohlsalat;4,25;2,5;1
2018-01-05;Fri;Angebote;Wraps mit Pulled Pork und Avocadocreme, dazu bunter Chinakohlsalat und Joghurt-Kräuterdressing;4,85;3,1;0
2018-01-05;Fri;Angebote;Gemüseschmarrn mit Kräuterquark, dazu Zupfsalat und Himbeerdressing;4,0;2,25;1
2018-01-06;Sat;Angebote;Jägerschnitzel (panierte Jagdwurst), dazu Tomatensoße, buntes Gemüse und Spirelli;4,1;2,35;0
2018-01-06;Sat;Angebote;Mais-Lauchrösti, dazu Spitzkohl-Apfel-Currygemüse und Schwenkkartoffeln;4,45;2,7;1
2018-01-07;Sun;Angebote;Hähnchenbrust in Honig-Balsamicosoße oder Valess Schnitzel mit Goudafüllung, dazu buntes Gemüse und Pastasotto;4,7;2,95;0
2018-01-08;Mon;Angebote;Schweinerückensteak Santiago (Schinken, Paprika, Zwiebeln und Kidney Bohnen), dazu buntes Gemüse und Amazing fries;4,7;2,95;0
2018-01-08;Mon;Angebote;Maisgrießbällchen mit Ratatouillefüllung an Möhrenrisotto mit Kürbiskernen und Chicorée-Salat;4,65;2,9;1
2018-01-08;Mon;Angebote;Spaghetti mit Bolognese oder Broccoli-Käsesahnesoße, dazu geriebenen Käse;3,7;1,95;1
2018-01-09;Tue;Angebote;Gebackenes Seelachsfilet mit Spinat-Käsefüllung, dazu Stampfkartoffeln und Tomatensalat;4,8;3,05;0
2018-01-09;Tue;Angebote;Zwei Erbsen-Quinoamedaillons, dazu Karottenrahmgemüse und Mango-Linsen-Couscous;4,6;2,85;2
2018-01-09;Tue;Angebote;Linseneintopf mit einem Paar Wiener, dazu ein Brötchen und eine Scheibe Brot;;;0
2018-01-10;Wed;Angebote;Szegediner Gulasch, dazu Bohnengemüse, Semmelknödel oder Petersilienkartoffeln;4,3;2,55;0
2018-01-10;Wed;Angebote;4 gebackene Kartoffelrösti-Ecken, dazu Kräuterquark und Bauernsalat;;;1
2018-01-10;Wed;Angebote;Gratinierter Gemüse-Gnocchi-Auflauf;3,17;2,07;1
2018-01-11;Thu;Angebote;Spanferkelrollbraten, dazu Bayrischkraut und Herzoginkartoffeln;4,35;2,6;0
2018-01-11;Thu;Angebote;Gabelspaghetti mit Zucchini-Basilikum-Pesto, dazu gehobelter, italienischer Hartkäse;3,75;2,0;1
2018-01-11;Thu;Angebote;2 gekochte Eier mit Senfsoße, buntes Gemüse und Petersilienkartoffeln;3,75;2,0;1
2018-01-12;Fri;Angebote;Schweineschnitzel mit Tomate und Käse überbacken, dazu buntes Gemüse und Pommes frites;4,65;2,9;0
2018-01-12;Fri;Angebote;Steckrüben-Karottenragout mit Curry und Limette, dazu Basmati Reis;3,85;2,1;2
