date;weekday;category;name;employees;students;type
2018-01-02;Tue;Angebote;Hähnchenschnitzel mit buntem Gemüse und Petersilienkartoffeln;4,35;2,6;0
2018-01-02;Tue;Angebote;Gemüseschnitzel mit Tomatensoße, buntem Gemüse und Petersilienkartoffeln;4,0;2,25;2
2018-01-02;Tue;Pasta;Tomatensoße;;;1
2018-01-03;Wed;Angebote;Hähnchenkeule mit Paprikasoße, dazu Erbsen und Spätzle;4,35;2,6;0
2018-01-03;Wed;Angebote;Broccoli Nuggets mit Paprikasoße auf Spätzle;4,0;2,25;1
2018-01-03;Wed;Pasta;Tomatensoße Bolognese;;;0
2018-01-03;Wed;Pasta;Paprikasoße;;;1
2018-01-04;Thu;Angebote;Brühnudeln mit Geflügelfleisch, Brot;3,65;1,9;0
2018-01-04;Thu;Angebote;Schweineschnitzel mit Pommes frites und Erbsen;4,45;2,7;0
2018-01-04;Thu;Angebote;Pizza Bel Paese mit Tomaten und Hirtenkäse;;;1
2018-01-04;Thu;Angebote;Pizza mit Peperonisalami und Paprika;;;0
2018-01-04;Thu;Pasta;Käsesoße Quattro formaggi;;;1
2018-01-04;Thu;Pasta;Wurstgulasch;;;0
2018-01-05;Fri;Angebote;Zwei Eierkuchen mit Apfelmus;3,7;1,95;0
2018-01-05;Fri;Angebote;Schweinebraten mit Bayrischkraut, dazu Kartoffelklöße oder Petersilienkartoffeln;4,25;2,5;0
2018-01-05;Fri;Angebote;Pizza Bel Paese mit Tomaten und Hirtenkäse;;;1
2018-01-05;Fri;Angebote;Pizza mit Peperonisalami und Paprika;;;0
2018-01-05;Fri;Pasta;Rahmsoße mit Lauchzwiebeln;;;1
2018-01-05;Fri;Pasta;Tomatenrahmsoße;;;1
2018-01-05;Fri;Auflauf;Nudelgratin mit getrockneten Tomaten, schwarzen Oliven und Hirtenkäse;3,07;1,97;1
2018-01-05;Fri;Auflauf;Ofenschlupfer mit Apfel und Quark;3,07;1,97;1
2018-01-08;Mon;Angebote;Mexikanischer Chili-Käse-Maiseintopf mit Rindfleisch, dazu Brötchen;3,85;2,1;0
2018-01-08;Mon;Angebote;Putenschnitzel mit Geflügelsoße, buntem Gemüse und Petersilienkartoffeln;4,45;2,7;0
2018-01-08;Mon;Angebote;Paniertes Kotelett vom Schwein, Bratensoße, buntes Gemüse und Petersilienkartoffeln;4,45;2,7;0
2018-01-08;Mon;Angebote;Pizza mit Artischockenherzen und Oregano;;;1
2018-01-08;Mon;Angebote;Pizza Chili con carne;;;0
2018-01-08;Mon;Wok & Grill;Chilifleisch mit Bohnen und Pfirsich aus dem Wok an Mie Nudeln;4,45;2,7;0
2018-01-08;Mon;Hausgemachte frische Pasta, heute;Amori mit Tomaten-Olivenpesto, dazu italienischer Hartkäse Grana Padano;4,05;2,3;1
2018-01-08;Mon;Pasta;Chili-Lauchsoße;;;1
2018-01-08;Mon;Pasta;Tomatensoße mit Schinken;;;0
2018-01-08;Mon;Auflauf;Gratinierte Gemüse-Gnocchi;3,07;1,97;1
2018-01-08;Mon;Terrine;Pikanter Pilzeintopf mit Kartoffeln und Gewürzgurke;2,77;1,67;2
2018-01-09;Tue;Angebote;Kohlroulade in deftiger Bratensoße mit Petersilienkartoffeln;3,95;2,2;0
2018-01-09;Tue;Angebote;Paniertes Seelachsfilet mit Kohlrabi-Bohnengemüse und Kartoffelpüree;4,15;2,4;0
2018-01-09;Tue;Angebote;Gedünstetes Buntbarschfilet mit Weißwein-Kräutersoße und Gemüse-Graupenrisotto;4,65;2,9;0
2018-01-09;Tue;Angebote;Hausgemachte frische Pasta, heute Trecce alla greco mit Schafskäse;4,05;2,3;1
2018-01-09;Tue;Angebote;Pizza mit Artischockenherzen und Oregano;;;1
2018-01-09;Tue;Angebote;Pizza Chili con carne;;;0
2018-01-09;Tue;Wok & Grill;Frühlingsrollen mit asiatischem Gemüse aus dem Wok, dazu Basmati Reis;4,52;2,77;2
2018-01-09;Tue;Pasta;Pute in Gemüserahmsoße;;;0
2018-01-09;Tue;Pasta;Tomatensoße mit Wurzelgemüse;;;1
2018-01-09;Tue;Auflauf;Gratinierte Gemüse-Gnocchi;3,07;1,97;1
2018-01-09;Tue;Terrine;Flecke, süßsauer;2,77;1,67;0
2018-01-09;Tue;Terrine;Pikanter Pilzeintopf mit Kartoffeln und Gewürzgurke;2,77;1,67;2
2018-01-10;Wed;Angebote;Rührei mit Spinat und Kartoffeln;3,55;1,8;1
2018-01-10;Wed;Angebote;Sojaklopse in Tomatensoße, dazu buntes Gemüse und Spätzle;4,25;2,5;1
2018-01-10;Wed;Angebote;Hausgemachte frische Pasta, heute Linguine alla Carbonara, dazu italienischer Hartkäse Grana Padano;4,05;2,3;0
2018-01-10;Wed;Angebote;Pizza Hawaii mit Kochschinken und Ananas;;;0
2018-01-10;Wed;Angebote;Quattro formaggi mit Cheddar, Gouda, Hirtenkäse, Mozzarella;;;1
2018-01-10;Wed;Wok & Grill;Gegrilltes Welsfilet mit Kartoffelsalat;5,65;3,9;0
2018-01-10;Wed;Pasta;Rahmsoße mit Tomaten und Auberginen;;;1
2018-01-10;Wed;Pasta;spanische Hackfleischsoße;;;0
2018-01-10;Wed;Auflauf;Gratinierte Pasta in Tomatensoße mit Schinken;3,07;1,97;0
2018-01-10;Wed;Auflauf;Gratinierte Gemüse-Gnocchi;3,07;1,97;1
2018-01-10;Wed;Auflauf;Rakottkrumpli - Kartoffelauflauf ungarisch;3,07;1,97;0
2018-01-10;Wed;Terrine;Flecke, süßsauer;2,77;1,67;0
2018-01-10;Wed;Terrine;Pikanter Pilzeintopf mit Kartoffeln und Gewürzgurke;2,77;1,67;2
2018-01-11;Thu;Angebote;Zwei Hefeklöße mit Pflaumenmusfüllung in Schokoladensoße mit Zitronen-Minzequark;3,75;2,0;1
2018-01-11;Thu;Angebote;Rückensteak vom Schwein mit Ratatouille und Schwenkkartoffeln;4,25;2,5;0
2018-01-11;Thu;Angebote;Gebratene Zucchini mit Hirtenkäse auf Letscho, dazu Kartoffel-Maisfritten;4,25;2,5;1
