date;weekday;category;name;employees;students;type
2020-01-06;Mon;Angebote;Schweinesteak Strindberg mit Erbsengemüse und Pommes frites;4,93;2,71;0
2020-01-06;Mon;Angebote;Drei Kartoffeltaschen mit Tomaten-Mozzarellafüllung auf Ratatouillegemüse und bunter Eisbergsalat;4,78;2,63;1
2020-01-06;Mon;Angebote;Spirelli mit Porree-Hack-Käsesoße oder Rahmsoße mit Kürbis, dazu geriebenen Käse;4,27;2,2;0
2020-01-07;Tue;Angebote;Lausitzer Kümmelbraten mit Bayrischkraut, dazu Kartoffelklöße oder Petersilienkartoffeln;5,09;2,8;0
2020-01-07;Tue;Angebote;Käsesoufflee an Püree von Roten Linsen mit Tomate, Rosine, Minze und Ingwer, dazu Möhrensalat mit Rosinen;5,94;3,12;1
2020-01-07;Tue;Angebote;Erbseneintopf mit gebratenen Knackerscheiben, dazu ein Brötchen oder Scheibe Brot;4,27;2,35;0
2020-01-08;Wed;Angebote;Seelachsfilet in Sesampanade, dazu Kartoffel-Linsenstampf und Gurken-Tomatensalat;5,55;3,05;0
2020-01-08;Wed;Angebote;Rahmspinat mit Rührei und Petersilienkartoffeln;4,45;2,45;1
2020-01-08;Wed;Angebote;Hausgemachte sächsische Kartoffelpuffer mit Apfelmus;4,04;2,07;1
2020-01-09;Thu;Angebote;Rucola-Süßkartoffelschnitte an Tomaten-Paprikaragout, dazu Couscous  mit Gemüse;4,27;2,35;2
2020-01-09;Thu;Angebote;Krautnudeln vegetarisch oder mit Salami, dazu Tomatensoße und geriebenen Käse;4,65;2,56;0
2020-01-09;Thu;Angebote;Cheeseburger mit Pommes frites;6,0;3,15;0
2020-01-10;Fri;Angebote;Schweineschnitzel Cordon bleu mit Rahmkohlrabi und Pommes Twister;6,15;3,23;0
2020-01-10;Fri;Angebote;Broccoli-Nußecke mit Tomaten-Avocado-Salsa, dazu orientalisches Risotto mit Lauch, Minze und Tomate;5,19;2,85;2
2020-01-10;Fri;Angebote;Rösti-Ecken an Kräuterquark und Zupfsalat mit Zitrone;4,27;2,35;1
2020-01-11;Sat;Angebote;Sauerbratenragout mit Apfelrotkohl und Spätzle;5,45;3,0;0
2020-01-11;Sat;Angebote;Gemüse-Goudastäbchen an frischem Pfannengemüse mit Spatzle und Chili Tomaten Dip;5,64;3,1;1
2020-01-12;Sun;Angebote;Hähnchenbrust in Honig Balsamicosoße, dazu buntes Gemüse und Rosmarinkartoffeln;5,91;3,25;0
2020-01-12;Sun;Angebote;Valess-Schnitzel mit feiner Tomatenfüllung , dazu buntes Gemüse und Rosmarinkartoffeln;5,18;2,85;1
2020-01-13;Mon;Angebote;Putensteak in einer Kornpanade, dazu buntes Gemüse und Pommes frites;5,91;3,1;0
2020-01-13;Mon;Angebote;Karotten-Sesamschnitzel an Frischkäse-Basilikumsoße, dazu Schwarzwurzelgemüse und Tomatenebly;5,18;2,85;1
2020-01-13;Mon;Angebote;Spaghetti Carbonara oder Rahmsoße mit Tomaten und Auberginen, dazu geriebenen Käse;4,27;2,35;0
2020-01-14;Tue;Angebote;Glühweinbraten mit Kirschrotkohl und Kartoffelbällchen;5,55;3,05;0
2020-01-14;Tue;Angebote;Pastinaken-Steckrübenrösti mit Champignon-Lauchgemüse und Bratkartoffeln;5,73;3,0;1
